price,bedrooms,bathrooms,sqft,status,address
520000,0,1,561,sold,"21 S End Ave #2BB, New York, NY 10280"
1040000,1,1,768,sold,"225  Rector Pl #PH 1A, New York, NY 10280"
530000,1,1,630,sold,"2 S End Ave #4T, New York, NY 10280"
1950000,0,1,1100,sold,"12 River Ter #31F, New York, NY 10282"
5.00E+05,1,1,631,sold,"280 Rector Pl #5O, New York, NY 10280"
552000,1,1,622,sold,"280 Rector Pl #9M, New York, NY 10280"
590000,1,1,630,sold,"2 S End Ave #7S, New York, NY 10280"
960000,1,1,812,sold,"333 Rector Pl #812, New York, NY 10280"
1225000,0,1,865,sold,"12 River Ter #9B, New York, NY 10282"
585000,1,1,673,sold,"21 S End Ave #435, New York, NY 10280"
885000,1,1,707,sold,"380 Rector Pl #17B, New York, NY 10280"
1765000,2,2,1099,sold,"12 River Ter #5C, New York, NY 10282"
2925000,0,1,1668,sold,"200 Rector Pl #41A, New York, NY 10280"
2925000,0,1,1225,sold,"200 Rector Pl #41B, New York, NY 10280"
1160000,2,2,1118,sold,"300 Albany St #8I, New York, NY 10280"
3630000,3,5,1930,sold,"12 River Ter #25C, New York, NY 10282"
3380000,3,4,1737,sold,"70 Little West St #20E, New York, NY 10004"
590000,1,1,751,sold,"2 S End Ave #3P, New York, NY 10280"
1360000,2,2,1001,sold,"377 Rector Pl #19G, New York, NY 10280"
1649042,2,2,938,sold,"225 Rector Pl #21B, New York, NY 10280"
785000,1,2,860,sold,"250 S End Ave #8E, New York, NY 10280"
504000,1,1,645,sold,"280 Rector Pl #4D, New York, NY 10280"
845000,1,1,687,sold,"225 Rector Pl #8C, New York, NY 10280"
655000,1,1,640,sold,"300 Rector Pl #9C, New York, NY 10280"
2208690,0,1,1526,sold,"30 Little West St #28E, New York, NY 10280"
650000,0,1,622,sold,"333 Rector Pl #707, New York, NY 10280"
510000,1,1,625,sold,"280 Rector Pl #3A, New York, NY 10280"
1179133,2,2,873,sold,"380 Rector Pl #11A, New York, NY 10280"
4450000,0,1,2277,sold,"212 Warren St #8L, New York, NY 10282"
1395000,0,1,549,sold,"200 Rector Pl #23M, New York, NY 10280"
1395000,0,1,633,sold,"200 Rector Pl #23N, New York, NY 10280"
1250000,1,1,871,sold,"70 Little West St #7J, New York, NY 10004"
1500000,2,3,1342,sold,"99 Battery Pl #17D, New York, NY 10280"
3310000,3,3,1661,sold,"212 Warren St #5C, New York, NY 10282"
1293445,2,2,873,sold,"380 Rector Pl #14A, New York, NY 10280"
525000,1,1,632,sold,"2 S End Ave #6K, New York, NY 10280"
985000,1,1,812,sold,"225 Rector Pl #11A, New York, NY 10280"
9.00E+05,1,1,768,sold,"333 Rector Pl #1012, New York, NY 10280"
540000,2,1,639,sold,"2 S End Ave #2B, New York, NY 10280"
2920000,3,3,2356,sold,"333 Rector Pl #506, New York, NY 10280"
9.00E+05,1,1,756,sold,"333 Rector Pl #1201, New York, NY 10280"
2490000,2,2,1484,sold,"2 River Ter #8A, New York, NY 10282"
527000,1,1,540,sold,"300 Albany St #4C, New York, NY 10280"
1205000,1,1,886,sold,"70 Little West St #9D, New York, NY 10004"
3250000,3,5,1944,sold,"10 Little West St #37A, New York, NY 10280"
3400000,3,3,1737,sold,"70 Little West St #28D, New York, NY 10004"
2985000,0,1,1654,sold,"212 Warren St #9G, New York, NY 10282"
1180000,2,2,932,sold,"21 S End Ave #1M, New York, NY 10280"
1750000,3,3,2100,sold,"2 E End Ave #7A, Manhattan, NY 10075"
1050000,2,2,1000,sold,"377 Rector Pl #1C, New York, NY 10280"
4300000,0,1,2277,sold,"212 Warren St #11L, New York, NY 10282"
6.00E+05,1,1,620,sold,"250 S End Ave #3A, New York, NY 10280"
999999,1,1,866,sold,"333 Rector Pl #1410, New York, NY 10280"
734158,2,2,1311,sold,"70 Little West St #23B, New York, NY 10004"
955000,2,2,890,sold,"300 Rector Pl #5S, New York, NY 10280"
2100000,2,3,1280,sold,"212 Warren St #4A, New York, NY 10282"
1175000,2,2,978,sold,"380 Rector Pl #4B, New York, NY 10280"
1700000,2,3,1690,sold,"10 Little West St #21C, New York, NY 10280"
3450000,4,4,2488,sold,"333 Rector Pl, New York, NY 10280"
995000,1,2,1000,sold,"250 S End Ave #1Q, New York, NY 10280"
750000,1,1,642,sold,"350 Albany St #14E, New York, NY 10280"
5335000,4,4,2595,sold,"212 Warren St #16C, New York, NY 10282"
1025000,3,2,945,sold,"200 Rector Pl #20B, New York, NY 10280"
1120000,4,2,1350,sold,"300 Albany St #9I, New York, NY 10280"
620000,1,1,610,sold,"250 S End Ave #6A, New York, NY 10280"
2150000,2,3,1690,sold,"10 Little West St #33C, New York, NY 10280"
1835000,2,3,1404,sold,"30 Little West St #7B, New York, NY 10280"
710000,1,1,751,sold,"350 Albany St #3I, New York, NY 10280"
585000,1,1,625,sold,"300 Rector Pl #2H, New York, NY 10280"
3275000,4,3,1691,sold,"212 Warren St #9E, New York, NY 10282"
2550000,0,1,1439,sold,"12 River Ter #23B, New York, NY 10282"
2300000,0,1,1449,sold,"12 River Ter #11M, New York, NY 10282"
1795000,2,2,1400,sold,"225 Rector Pl #4K, New York, NY 10280"
950000,1,1,735,sold,"380 Rector Pl #15E, New York, NY 10280"
745000,1,2,810,sold,"250 S End Ave #4E, New York, NY 10280"
2125000,2,2,1311,sold,"70 Little West St #21B, New York, NY 10004"
808000,1,1,687,sold,"225 Rector Pl #6C, New York, NY 10280"
978000,1,5,875,sold,"30 Little West St #7D, New York, NY 10280"
1139750,2,2,873,sold,"380 Rector Pl #5A, New York, NY 10280"
1550000,2,2,968,sold,"225 Rector Pl #16C, New York, NY 10280"
5.00E+05,1,1,560,sold,"21 S End Ave #233, New York, NY 10280"
1200000,2,3,1174,sold,"250 S End Ave #10B, New York, NY 10280"
5.00E+05,1,1,550,sold,"300 Albany St #4E, New York, NY 10280"
530000,1,1,625,sold,"300 Rector Pl #7I, New York, NY 10280"
588000,1,1,667,sold,"300 Albany St #9J, New York, NY 10280"
1700000,3,3,1174,sold,"200 Rector Pl #23E, New York, NY 10280"
658631,0,1,550,sold,"333 Rector Pl #1102, New York, NY 10280"
926500,2,2,832,sold,"280 Rector Pl #9C, New York, NY 10280"
618000,1,1,610,sold,"99 Battery Pl #15K, New York, NY 10280"
1575000,0,1,1150,sold,"30 Little West St #16C, New York, NY 10280"
450000,1,1,560,sold,"300 Albany St #6G, New York, NY 10280"
1050000,2,1,766,sold,"377 Rector Pl #25C, New York, NY 10280"
1900000,2,2,1321,sold,"70 Little West St #3E, New York, NY 10004"
7.00E+05,1,1,610,sold,"200 Rector Pl #31L, New York, NY 10280"
850000,1,1,711,sold,"333 Rector Pl #701, New York, NY 10280"
3750000,0,1,1842,sold,"12 River Ter #8J, New York, NY 10282"
917000,2,2,846,sold,"200 Rector Pl #4U, New York, NY 10280"
2075000,2,2,1526,sold,"30 Little West St #16E, New York, NY 10280"
492500,1,1,691,sold,"2 S End Ave #7V, New York, NY 10280"
515000,1,1,562,sold,"300 Rector Pl #6T, New York, NY 10280"
2635000,0,1,1439,sold,"12 River Ter #16B, New York, NY 10282"
3700000,3,3,1943,sold,"70 Little West St #12B, New York, NY 10004"
572500,1,1,610,sold,"250 S End Ave #2C, New York, NY 10280"
2690000,0,1,1439,sold,"12 River Ter #30B, New York, NY 10282"
5600000,4,4,3655,sold,"70 Little West St #30A, New York, NY 10004"
590000,1,1,625,sold,"300 Rector Pl #2D, New York, NY 10280"
970000,1,2,1108,sold,"21 S End Ave #629, New York, NY 10280"
1606178,2,2,1284,sold,"333 Rector Pl #605, New York, NY 10280"
1480000,2,2,1150,sold,"30 Little West St #32C, New York, NY 10280"
832500,1,1,700,sold,"200 Rector Pl #19G, New York, NY 10280"
2690000,2,3,1439,sold,"2 River Ter #30B, New York, NY 10282"
523000,1,1,622,sold,"300 Rector Pl #1G, New York, NY 10280"
1350000,3,2,976,sold,"200 Rector Pl #8K, New York, NY 10280"
1353150,2,3,1375,sold,"21 S End Ave #440, New York, NY 10280"
4650000,4,4,2402,sold,"212 Warren St #12C, New York, NY 10282"
4650000,4,4,2402,sold,"212 Warren St #12C, New York, NY 10282"
635000,1,1,620,sold,"250 S End Ave #15A, New York, NY 10280"
495000,1,1,630,sold,"2 S End Ave #7U, New York, NY 10280"
950000,2,2,1118,sold,"300 Albany St #4I, New York, NY 10280"
920000,2,2,1064,sold,"250 S End Ave #10D, New York, NY 10280"
1200000,2,3,1174,sold,"250 S End Ave #17B, New York, NY 10280"
535000,1,1,622,sold,"280 Rector Pl #3M, New York, NY 10280"
2800000,2,2,1528,sold,"212 Warren St #7G, New York, NY 10282"
590000,0,1,779,sold,"300 Albany St #3D, New York, NY 10280"
638000,1,2,710,sold,"377 Rector Pl #7F, New York, NY 10280"
6.00E+05,1,1,670,sold,"200 Rector Pl #3G, New York, NY 10280"
849000,1,1,760,sold,"225 Rector Pl #4T, New York, NY 10280"
755000,1,1,604,sold,"200 Rector Pl #10C, New York, NY 10280"
2999500,3,3,1737,sold,"70 Little West St #16E, New York, NY 10004"
1931750,3,3,1638,sold,"200 Rector Pl #40D, New York, NY 10280"
2875000,3,3,2356,sold,"333 Rector Pl #706, New York, NY 10280"
2774000,2,2,1601,sold,"70 Little West St #8K, New York, NY 10004"
649000,0,1,551,sold,"333 Rector Pl #802, New York, NY 10280"
855000,1,1,689,sold,"225 Rector Pl #17E, New York, NY 10280"
785000,1,1,671,sold,"380 Rector Pl #4N, New York, NY 10280"
545000,0,1,565,sold,"300 Rector Pl #7R, New York, NY 10280"
470000,1,1,580,sold,"2 S End Ave #7H, New York, NY 10280"
1378201,3,2,948,sold,"200 Rector Pl #32B, New York, NY 10280"
580000,1,1,620,sold,"250 S End Ave #8A, New York, NY 10280"
988000,1,1,866,sold,"333 Rector Pl #1010, New York, NY 10280"
530000,1,1,527,sold,"200 Rector Pl #9T, New York, NY 10280"
9.00E+05,2,2,846,sold,"200 Rector Pl #9U, New York, NY 10280"
625000,0,1,664,sold,"200 Rector Pl #9P, New York, NY 10280"
565000,1,1,692,sold,"350 Albany St #6E, New York, NY 10280"
545000,1,1,544,sold,"300 Albany St #6B, New York, NY 10280"
2700000,3,3,1941,sold,"10 Little West St #22E, New York, NY 10280"
625000,1,1,702,sold,"21 S End Ave #532, New York, NY 10280"
6750000,3,5,3006,sold,"60 Beach St #2, New York, NY 10013"
595000,0,1,515,sold,"88 Greenwich St #1025, New York, NY 10006"
1315000,1,1,692,sold,"200 Chambers St #5P, New York, NY 10007"
830000,1,1,900,sold,"3 Hanover Sq #4J, Manhattan, NY 10004"
5700000,3,3,2322,sold,"250 West St #3C, New York, NY 10013"
2667000,2,2,1549,sold,"250 West St #8K, New York, NY 10013"
675000,0,1,550,sold,"88 Greenwich St #922, New York, NY 10006"
3400000,3,2,2292,sold,"429-435 Greenwich St #2A, New York, NY 10013"
997500,0,1,1070,sold,"18-20 Pine St #1206, New York, NY 10005"
645000,0,1,598,sold,"20 West St #31E, New York, NY 10004"
999999,1,1,832,sold,"15 William St #20C, New York, NY 10005"
1675000,1,2,1158,sold,"15 William St #D4, New York, NY 10005"
3600000,2,3,1976,sold,"250 West St #3A, New York, NY 10013"
5650000,3,4,1939,sold,"111 Murray St #35A, New York, NY 10007"
